year,month,crop,state,price_per_quintal,rainfall_mm,temperature_c
2018,1,Tomato,Punjab,1234.71,190.1,33.3
2018,1,Tomato,UP,1279.89,31.2,18.9
2018,1,Tomato,Maharashtra,1170.91,173.2,30.0
2018,1,Tomato,Karnataka,1301.95,4.1,39.2
2018,1,Tomato,Andhra Pradesh,1327.02,42.5,19.5
2018,1,Tomato,Madhya Pradesh,1196.17,60.8,28.1
2018,1,Tomato,Rajasthan,1246.28,58.2,30.3
2018,1,Tomato,Gujarat,1187.32,58.4,24.2
2018,1,Potato,Punjab,834.1,157.0,20.0
2018,1,Potato,UP,841.91,118.5,16.2
2018,1,Potato,Maharashtra,854.45,34.1,16.6
2018,1,Potato,Karnataka,900.33,193.1,35.2
2018,1,Potato,Andhra Pradesh,813.74,19.5,32.1
2018,1,Potato,Madhya Pradesh,831.96,24.4,27.4
2018,1,Potato,Rajasthan,777.42,181.9,21.5
2018,1,Potato,Gujarat,861.84,62.3,28.0
2018,1,Onion,Punjab,1586.77,37.0,39.2
2018,1,Onion,UP,1644.33,187.9,37.4
2018,1,Onion,Maharashtra,1599.67,184.4,17.2
2018,1,Onion,Karnataka,1498.39,9.0,23.1
2018,1,Onion,Andhra Pradesh,1546.95,54.3,35.7
2018,1,Onion,Madhya Pradesh,1538.9,56.2,28.6
2018,1,Onion,Rajasthan,1484.51,160.4,16.9
2018,1,Onion,Gujarat,1697.7,154.4,20.0
2018,1,Rice,Punjab,2110.8,163.1,32.7
2018,1,Rice,UP,2376.14,154.3,16.9
2018,1,Rice,Maharashtra,2240.24,23.2,36.6
2018,1,Rice,Karnataka,2337.37,66.2,16.6
2018,1,Rice,Andhra Pradesh,2222.83,65.0,33.2
2018,1,Rice,Madhya Pradesh,2342.6,177.4,26.8
2018,1,Rice,Rajasthan,2152.64,142.6,34.0
2018,1,Rice,Gujarat,2314.62,154.2,27.3
2018,1,Wheat,Punjab,2265.71,85.5,15.6
2018,1,Wheat,UP,2115.87,6.3,30.9
2018,1,Wheat,Maharashtra,2190.45,101.7,37.7
2018,1,Wheat,Karnataka,2166.94,82.1,33.9
2018,1,Wheat,Andhra Pradesh,2159.54,15.4,22.2
2018,1,Wheat,Madhya Pradesh,2135.13,185.9,35.2
2018,1,Wheat,Rajasthan,2305.69,174.3,35.1
2018,1,Wheat,Gujarat,2144.29,178.5,28.5
2018,1,Maize,Punjab,2161.44,179.2,23.0
2018,1,Maize,UP,1931.57,45.6,25.7
2018,1,Maize,Maharashtra,2164.92,172.1,15.2
2018,1,Maize,Karnataka,2063.64,83.5,20.6
2018,1,Maize,Andhra Pradesh,1934.8,67.5,38.6
2018,1,Maize,Madhya Pradesh,2001.82,103.8,32.6
2018,1,Maize,Rajasthan,2015.15,194.4,39.1
2018,1,Maize,Gujarat,1978.28,99.4,22.5
2018,1,Soybean,Punjab,4359.57,7.4,30.2
2018,1,Soybean,UP,4516.94,10.3,22.0
2018,1,Soybean,Maharashtra,4809.93,47.9,18.6
2018,1,Soybean,Karnataka,4507.38,197.1,21.1
2018,1,Soybean,Andhra Pradesh,4639.35,152.3,20.9
2018,1,Soybean,Madhya Pradesh,4679.86,73.6,30.8
2018,1,Soybean,Rajasthan,4611.46,107.2,17.3
2018,1,Soybean,Gujarat,4757.22,64.2,19.7
2018,1,Cotton,Punjab,5914.93,118.2,31.9
2018,1,Cotton,UP,5890.22,102.4,20.7
2018,1,Cotton,Maharashtra,6532.29,34.9,32.3
2018,1,Cotton,Karnataka,6268.31,187.3,18.4
2018,1,Cotton,Andhra Pradesh,6221.66,22.7,38.1
2018,1,Cotton,Madhya Pradesh,6769.43,51.6,31.5
2018,1,Cotton,Rajasthan,6708.02,111.0,28.2
2018,1,Cotton,Gujarat,6120.32,18.6,37.4
2018,1,Sugarcane,Punjab,351.94,126.6,23.5
2018,1,Sugarcane,UP,322.77,145.2,37.4
2018,1,Sugarcane,Maharashtra,351.23,156.0,31.1
2018,1,Sugarcane,Karnataka,308.74,32.3,37.5
2018,1,Sugarcane,Andhra Pradesh,336.38,1.8,17.5
2018,1,Sugarcane,Madhya Pradesh,339.4,1.0,19.0
2018,1,Sugarcane,Rajasthan,333.33,138.4,31.3
2018,1,Sugarcane,Gujarat,316.16,142.4,20.9
2018,1,Chilli,Punjab,8165.34,149.3,31.2
2018,1,Chilli,UP,8869.36,131.5,29.2
2018,1,Chilli,Maharashtra,7853.9,73.5,21.6
2018,1,Chilli,Karnataka,8055.92,194.6,24.8
2018,1,Chilli,Andhra Pradesh,8926.91,126.2,34.9
2018,1,Chilli,Madhya Pradesh,8403.54,115.4,27.3
2018,1,Chilli,Rajasthan,7990.41,144.5,22.0
2018,1,Chilli,Gujarat,7760.68,129.1,19.4
2018,2,Tomato,Punjab,1387.33,190.8,37.9
2018,2,Tomato,UP,1269.08,3.1,38.2
2018,2,Tomato,Maharashtra,1281.11,193.3,39.1
2018,2,Tomato,Karnataka,1369.2,58.9,24.6
2018,2,Tomato,Andhra Pradesh,1368.81,63.4,19.2
2018,2,Tomato,Madhya Pradesh,1307.78,187.2,32.4
2018,2,Tomato,Rajasthan,1310.53,19.4,30.4
2018,2,Tomato,Gujarat,1397.62,28.0,28.0
2018,2,Potato,Punjab,916.17,148.2,32.4
2018,2,Potato,UP,891.99,71.9,22.3
2018,2,Potato,Maharashtra,906.77,162.0,36.7
2018,2,Potato,Karnataka,921.13,102.3,27.5
2018,2,Potato,Andhra Pradesh,905.24,130.0,32.5
2018,2,Potato,Madhya Pradesh,904.89,178.0,23.4
2018,2,Potato,Rajasthan,846.8,18.8,29.5
2018,2,Potato,Gujarat,799.85,93.1,28.6
2018,2,Onion,Punjab,1564.67,118.2,15.8
2018,2,Onion,UP,1500.08,164.5,24.0
2018,2,Onion,Maharashtra,1523.33,104.4,34.2
2018,2,Onion,Karnataka,1546.34,124.6,17.1
2018,2,Onion,Andhra Pradesh,1503.8,106.3,28.5
2018,2,Onion,Madhya Pradesh,1655.62,145.2,39.4
2018,2,Onion,Rajasthan,1624.23,64.6,34.9
2018,2,Onion,Gujarat,1560.6,87.8,17.0
2018,2,Rice,Punjab,2178.59,192.5,35.9
2018,2,Rice,UP,2431.57,81.8,19.3
2018,2,Rice,Maharashtra,2228.04,50.0,28.7
2018,2,Rice,Karnataka,2438.59,132.0,22.0
2018,2,Rice,Andhra Pradesh,2529.23,147.6,28.9
2018,2,Rice,Madhya Pradesh,2399.78,83.9,21.2
2018,2,Rice,Rajasthan,2303.31,151.6,15.4
2018,2,Rice,Gujarat,2212.81,9.2,16.0
2018,2,Wheat,Punjab,2454.06,140.7,26.9
2018,2,Wheat,UP,2172.59,98.3,26.8
2018,2,Wheat,Maharashtra,2200.59,86.8,25.0
2018,2,Wheat,Karnataka,2365.04,127.0,16.1
2018,2,Wheat,Andhra Pradesh,2275.42,125.2,27.6
2018,2,Wheat,Madhya Pradesh,2454.44,131.7,19.1
2018,2,Wheat,Rajasthan,2162.46,128.5,15.7
2018,2,Wheat,Gujarat,2353.87,188.0,29.4
2018,2,Maize,Punjab,2081.05,128.7,26.5
2018,2,Maize,UP,2134.43,188.3,24.7
2018,2,Maize,Maharashtra,2275.32,181.1,19.9
2018,2,Maize,Karnataka,1972.96,20.2,15.5
2018,2,Maize,Andhra Pradesh,1981.46,136.6,16.8
2018,2,Maize,Madhya Pradesh,2057.59,169.0,15.6
2018,2,Maize,Rajasthan,2225.58,56.4,18.0
2018,2,Maize,Gujarat,2185.66,125.8,36.9
2018,2,Soybean,Punjab,4818.67,160.7,22.1
2018,2,Soybean,UP,4404.32,150.1,35.2
2018,2,Soybean,Maharashtra,5008.46,82.5,24.3
2018,2,Soybean,Karnataka,4849.39,68.2,38.3
2018,2,Soybean,Andhra Pradesh,4910.32,85.8,33.8
2018,2,Soybean,Madhya Pradesh,4833.14,20.6,37.6
2018,2,Soybean,Rajasthan,4647.9,165.3,23.0
2018,2,Soybean,Gujarat,4937.89,77.8,15.3
2018,2,Cotton,Punjab,6992.3,18.3,23.0
2018,2,Cotton,UP,7039.25,190.1,29.3
2018,2,Cotton,Maharashtra,6704.91,89.7,22.3
2018,2,Cotton,Karnataka,6386.39,134.5,33.8
2018,2,Cotton,Andhra Pradesh,6872.74,157.9,17.3
2018,2,Cotton,Madhya Pradesh,6560.54,11.5,28.7
2018,2,Cotton,Rajasthan,6504.97,177.5,23.8
2018,2,Cotton,Gujarat,6164.08,28.6,34.0
2018,2,Sugarcane,Punjab,346.63,20.2,17.1
2018,2,Sugarcane,UP,351.14,14.6,35.5
2018,2,Sugarcane,Maharashtra,351.43,16.3,17.1
2018,2,Sugarcane,Karnataka,366.69,74.9,24.3
2018,2,Sugarcane,Andhra Pradesh,357.23,189.4,39.7
2018,2,Sugarcane,Madhya Pradesh,353.99,75.3,17.1
2018,2,Sugarcane,Rajasthan,355.29,111.7,25.6
2018,2,Sugarcane,Gujarat,362.32,22.2,27.3
2018,2,Chilli,Punjab,7964.5,93.7,16.4
2018,2,Chilli,UP,8113.05,23.5,31.2
2018,2,Chilli,Maharashtra,8980.13,116.7,39.1
2018,2,Chilli,Karnataka,8467.02,57.1,36.7
2018,2,Chilli,Andhra Pradesh,8257.9,192.6,15.3
2018,2,Chilli,Madhya Pradesh,9289.56,8.6,37.3
2018,2,Chilli,Rajasthan,8678.29,198.6,16.8
2018,2,Chilli,Gujarat,8714.45,193.9,28.1
2018,3,Tomato,Punjab,1347.33,139.1,26.4
2018,3,Tomato,UP,1346.94,116.9,37.5
2018,3,Tomato,Maharashtra,1224.0,56.2,38.8
2018,3,Tomato,Karnataka,1402.42,91.1,30.5
2018,3,Tomato,Andhra Pradesh,1272.98,37.6,26.6
2018,3,Tomato,Madhya Pradesh,1289.03,116.7,16.9
2018,3,Tomato,Rajasthan,1420.19,197.2,32.5
2018,3,Tomato,Gujarat,1327.62,61.9,35.3
2018,3,Potato,Punjab,906.01,32.5,37.8
2018,3,Potato,UP,925.41,190.0,33.1
2018,3,Potato,Maharashtra,895.97,83.6,38.3
2018,3,Potato,Karnataka,931.54,9.0,15.7
2018,3,Potato,Andhra Pradesh,862.61,162.1,39.7
2018,3,Potato,Madhya Pradesh,830.78,118.8,24.5
2018,3,Potato,Rajasthan,946.16,168.4,36.0
2018,3,Potato,Gujarat,875.59,83.0,21.8
2018,3,Onion,Punjab,1532.88,172.9,35.3
2018,3,Onion,UP,1781.93,199.3,28.9
2018,3,Onion,Maharashtra,1721.01,189.0,36.2
2018,3,Onion,Karnataka,1583.3,90.1,18.2
2018,3,Onion,Andhra Pradesh,1769.87,121.2,20.7
2018,3,Onion,Madhya Pradesh,1695.33,123.6,24.0
2018,3,Onion,Rajasthan,1547.98,134.3,28.0
2018,3,Onion,Gujarat,1721.89,104.0,36.3
2018,3,Rice,Punjab,2421.24,112.2,36.9
2018,3,Rice,UP,2364.22,26.8,15.7
2018,3,Rice,Maharashtra,2499.33,124.1,32.6
2018,3,Rice,Karnataka,2291.02,27.3,15.4
2018,3,Rice,Andhra Pradesh,2343.89,118.0,24.8
2018,3,Rice,Madhya Pradesh,2377.28,180.8,23.7
2018,3,Rice,Rajasthan,2406.67,156.7,24.9
2018,3,Rice,Gujarat,2448.21,172.5,38.7
2018,3,Wheat,Punjab,2231.45,185.3,27.3
2018,3,Wheat,UP,2273.52,91.8,39.5
2018,3,Wheat,Maharashtra,2362.21,65.8,30.8
2018,3,Wheat,Karnataka,2266.67,15.2,18.2
2018,3,Wheat,Andhra Pradesh,2224.25,30.4,18.5
2018,3,Wheat,Madhya Pradesh,2418.31,36.4,23.6
2018,3,Wheat,Rajasthan,2515.14,94.8,31.7
2018,3,Wheat,Gujarat,2241.01,38.5,16.0
2018,3,Maize,Punjab,2043.88,55.7,19.4
2018,3,Maize,UP,2016.17,24.1,26.5
2018,3,Maize,Maharashtra,2056.79,72.9,27.6
2018,3,Maize,Karnataka,2223.95,7.9,35.0
2018,3,Maize,Andhra Pradesh,2202.37,16.4,36.8
2018,3,Maize,Madhya Pradesh,2303.53,12.2,21.9
2018,3,Maize,Rajasthan,2263.93,149.7,19.6
2018,3,Maize,Gujarat,2057.83,74.1,27.1
2018,3,Soybean,Punjab,4819.5,73.8,26.6
2018,3,Soybean,UP,4917.29,7.3,21.3
2018,3,Soybean,Maharashtra,4891.46,179.0,27.8
2018,3,Soybean,Karnataka,4754.3,21.4,26.2
2018,3,Soybean,Andhra Pradesh,4754.68,48.5,21.7
2018,3,Soybean,Madhya Pradesh,4637.13,4.0,23.1
2018,3,Soybean,Rajasthan,4511.62,65.5,18.0
2018,3,Soybean,Gujarat,5025.55,118.7,32.0
2018,3,Cotton,Punjab,6997.44,99.7,17.2
2018,3,Cotton,UP,6727.71,117.4,33.6
2018,3,Cotton,Maharashtra,6614.87,25.5,22.1
2018,3,Cotton,Karnataka,6541.49,129.2,29.3
2018,3,Cotton,Andhra Pradesh,6534.01,197.3,30.1
2018,3,Cotton,Madhya Pradesh,6406.81,20.4,18.8
2018,3,Cotton,Rajasthan,6416.15,32.1,19.7
2018,3,Cotton,Gujarat,6458.03,34.7,37.4
2018,3,Sugarcane,Punjab,323.23,104.9,25.3
2018,3,Sugarcane,UP,373.24,22.4,24.9
2018,3,Sugarcane,Maharashtra,372.53,173.1,35.4
2018,3,Sugarcane,Karnataka,333.08,34.2,31.7
2018,3,Sugarcane,Andhra Pradesh,370.3,111.4,29.3
